ts,pid,name,cpu_percent,cpu_seconds,rss_bytes,vms_bytes
2025-11-28T22:52:07.478912,94532,user_service_app,100.92,N/A,0,0
2025-11-28T22:52:09.502682,94544,product_service_app,5.45,N/A,0,0
2025-11-28T22:52:12.531682,94684,order_service_app,2.74,N/A,0,0
2025-11-28T22:52:14.553030,94532,user_service_app,100.08,N/A,0,0
2025-11-28T22:52:16.575154,94544,product_service_app,6.51,N/A,0,0
2025-11-28T22:52:19.602815,94684,order_service_app,2.84,N/A,0,0
2025-11-28T22:52:21.634410,94532,user_service_app,99.53,N/A,0,0
2025-11-28T22:52:23.662683,94544,product_service_app,6.33,N/A,0,0
2025-11-28T22:52:26.689526,94684,order_service_app,2.94,N/A,0,0
2025-11-28T22:52:28.715360,94532,user_service_app,100.61,N/A,0,0
2025-11-28T22:52:30.724838,94544,product_service_app,8.01,N/A,0,0
2025-11-28T22:52:33.755701,94684,order_service_app,2.87,N/A,0,0
2025-11-28T22:52:35.774686,94532,user_service_app,100.76,N/A,0,0
2025-11-28T22:52:37.790251,94544,product_service_app,4.49,N/A,0,0
2025-11-28T22:52:40.859928,94684,order_service_app,1.64,N/A,0,0
2025-11-28T22:52:42.844571,94532,user_service_app,99.38,N/A,0,0
2025-11-28T22:52:44.872106,94544,product_service_app,10.68,N/A,0,0
2025-11-28T22:52:47.917698,94684,order_service_app,2.33,N/A,0,0
2025-11-28T22:52:49.927981,94532,user_service_app,99.99,N/A,0,0
2025-11-28T22:52:51.954479,94544,product_service_app,7.19,N/A,0,0
2025-11-28T22:52:55.004643,94684,order_service_app,1.89,N/A,0,0
2025-11-28T22:52:57.026919,94532,user_service_app,98.6,N/A,0,0
2025-11-28T22:52:59.051441,94544,product_service_app,5.64,N/A,0,0
2025-11-28T22:53:02.074175,94684,order_service_app,1.25,N/A,0,0
2025-11-28T22:53:04.105719,94532,user_service_app,101.64,N/A,0,0
2025-11-28T22:53:06.126870,94544,product_service_app,5.21,N/A,0,0
2025-11-28T22:53:09.156181,94684,order_service_app,1.94,N/A,0,0
2025-11-28T22:53:11.182589,94532,user_service_app,101.49,N/A,0,0
2025-11-28T22:53:13.196248,94544,product_service_app,5.11,N/A,0,0
2025-11-28T22:53:16.247574,94684,order_service_app,0.75,N/A,0,0
2025-11-28T22:53:18.273081,94532,user_service_app,99.68,N/A,0,0
2025-11-28T22:53:20.291251,94544,product_service_app,5.28,N/A,0,0
2025-11-28T22:53:23.317973,94684,order_service_app,1.81,N/A,0,0
2025-11-28T22:53:25.334427,94532,user_service_app,99.3,N/A,0,0
2025-11-28T22:53:27.354098,94544,product_service_app,5.29,N/A,0,0
2025-11-28T22:53:30.395120,94684,order_service_app,1.63,N/A,0,0
2025-11-28T22:53:32.407850,94532,user_service_app,101.24,N/A,0,0
2025-11-28T22:53:34.431403,94544,product_service_app,4.51,N/A,0,0
2025-11-28T22:53:37.454447,94684,order_service_app,0.99,N/A,0,0
2025-11-28T22:53:39.476639,94532,user_service_app,99.81,N/A,0,0
2025-11-28T22:53:41.515158,94544,product_service_app,6.07,N/A,0,0
2025-11-28T22:53:44.572553,94684,order_service_app,1.45,N/A,0,0
2025-11-28T22:53:46.559157,94532,user_service_app,99.89,N/A,0,0
2025-11-28T22:53:48.581851,94544,product_service_app,4.74,N/A,0,0
2025-11-28T22:53:51.609528,94684,order_service_app,1.43,N/A,0,0
2025-11-28T22:53:53.631792,94532,user_service_app,98.72,N/A,0,0
2025-11-28T22:53:55.646491,94544,product_service_app,7.45,N/A,0,0
2025-11-28T22:53:58.670813,94684,order_service_app,1.37,N/A,0,0
2025-11-28T22:54:00.706580,94532,user_service_app,101.45,N/A,0,0
2025-11-28T22:54:02.723705,94544,product_service_app,4.65,N/A,0,0
2025-11-28T22:54:05.752776,94684,order_service_app,1.26,N/A,0,0
2025-11-28T22:54:07.766432,94532,user_service_app,100.28,N/A,0,0
2025-11-28T22:54:09.782241,94544,product_service_app,5.15,N/A,0,0
2025-11-28T22:54:12.826204,94684,order_service_app,1.15,N/A,0,0
2025-11-28T22:54:14.852567,94532,user_service_app,99.38,N/A,0,0
2025-11-28T22:54:16.892648,94544,product_service_app,4.26,N/A,0,0
2025-11-28T22:54:19.915549,94684,order_service_app,0.77,N/A,0,0
2025-11-28T22:54:21.941557,94532,user_service_app,98.62,N/A,0,0
2025-11-28T22:54:23.961001,94544,product_service_app,4.64,N/A,0,0
2025-11-28T22:54:26.992771,94684,order_service_app,1.45,N/A,0,0
2025-11-28T22:54:29.009006,94532,user_service_app,101.04,N/A,0,0
2025-11-28T22:54:31.027943,94544,product_service_app,3.95,N/A,0,0
2025-11-28T22:54:34.064177,94684,order_service_app,2.04,N/A,0,0
2025-11-28T22:54:36.095969,94532,user_service_app,100.95,N/A,0,0
2025-11-28T22:54:38.115538,94544,product_service_app,6.97,N/A,0,0
2025-11-28T22:54:41.140583,94684,order_service_app,1.5,N/A,0,0
2025-11-28T22:54:43.170581,94532,user_service_app,98.43,N/A,0,0
2025-11-28T22:54:45.180490,94544,product_service_app,4.17,N/A,0,0
2025-11-28T22:54:48.217145,94684,order_service_app,0.62,N/A,0,0
2025-11-28T22:54:50.247995,94532,user_service_app,99.6,N/A,0,0
2025-11-28T22:54:52.262817,94544,product_service_app,3.95,N/A,0,0
2025-11-28T22:54:55.325338,94684,order_service_app,1.94,N/A,0,0
2025-11-28T22:54:57.357458,94532,user_service_app,98.78,N/A,0,0
2025-11-28T22:54:59.376824,94544,product_service_app,4.15,N/A,0,0
2025-11-28T22:55:02.444439,94684,order_service_app,1.2,N/A,0,0
2025-11-28T22:55:04.465099,94532,user_service_app,98.83,N/A,0,0
2025-11-28T22:55:06.480603,94544,product_service_app,3.75,N/A,0,0
2025-11-28T22:55:09.512786,94684,order_service_app,1.88,N/A,0,0
2025-11-28T22:55:11.528374,94532,user_service_app,100.9,N/A,0,0
2025-11-28T22:55:13.553780,94544,product_service_app,3.44,N/A,0,0
2025-11-28T22:55:16.590585,94684,order_service_app,1.57,N/A,0,0
2025-11-28T22:55:18.629860,94532,user_service_app,103.15,N/A,0,0
2025-11-28T22:55:20.645390,94544,product_service_app,5.88,N/A,0,0
2025-11-28T22:55:23.723817,94684,order_service_app,1.45,N/A,0,0
2025-11-28T22:55:25.726246,94532,user_service_app,101.58,N/A,0,0
2025-11-28T22:55:27.742415,94544,product_service_app,4.4,N/A,0,0
2025-11-28T22:55:30.767708,94684,order_service_app,3.17,N/A,0,0
2025-11-28T22:55:32.781049,94532,user_service_app,99.63,N/A,0,0
2025-11-28T22:55:34.809692,94544,product_service_app,4.28,N/A,0,0
2025-11-28T22:55:37.836942,94684,order_service_app,1.16,N/A,0,0
2025-11-28T22:55:39.860710,94532,user_service_app,98.69,N/A,0,0
2025-11-28T22:55:41.881267,94544,product_service_app,6.18,N/A,0,0
2025-11-28T22:55:44.919799,94684,order_service_app,1.29,N/A,0,0
2025-11-28T22:55:46.947732,94532,user_service_app,100.31,N/A,0,0
2025-11-28T22:55:48.964464,94544,product_service_app,6.58,N/A,0,0
2025-11-28T22:55:52.016385,94684,order_service_app,1.06,N/A,0,0
